parameter_pencemar_kritis,kategori,periode_data,bulan,tanggal,stasiun,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,max,label
PM2.5,SEDANG,202401,1,1,DKI1 Bundaran HI,64.0,89.0,52.0,9.0,13.0,30.0,89.0,1
PM2.5,SEDANG,202401,1,2,DKI1 Bundaran HI,53.0,93.0,52.0,4.0,12.0,28.0,93.0,1
PM2.5,SEDANG,202401,1,3,DKI1 Bundaran HI,52.0,57.0,52.0,6.0,12.0,27.0,57.0,1
SO2,TIDAK SEHAT,202401,1,4,DKI1 Bundaran HI,30.0,73.0,112.0,20.0,8.0,77.0,112.0,2
PM2.5,SEDANG,202401,1,5,DKI1 Bundaran HI,22.0,54.0,46.0,15.0,24.0,44.0,54.0,1
PM2.5,SEDANG,202401,1,6,DKI1 Bundaran HI,49.0,68.0,46.0,12.0,38.0,36.0,68.0,1
PM2.5,SEDANG,202401,1,7,DKI1 Bundaran HI,52.0,77.0,45.0,14.0,34.0,44.0,77.0,1
PM2.5,SEDANG,202401,1,8,DKI1 Bundaran HI,49.0,52.0,46.0,10.0,27.0,32.0,52.0,1
PM2.5,SEDANG,202401,1,9,DKI1 Bundaran HI,50.0,62.0,48.0,13.0,25.0,31.0,62.0,1
PM2.5,SEDANG,202401,1,10,DKI1 Bundaran HI,49.0,66.0,49.0,10.0,34.0,41.0,66.0,1
PM2.5,SEDANG,202401,1,11,DKI1 Bundaran HI,51.0,58.0,47.0,10.0,24.0,36.0,58.0,1
SO2,BAIK,202401,1,12,DKI1 Bundaran HI,30.0,26.0,45.0,8.0,18.0,21.0,45.0,0
PM2.5,SEDANG,202401,1,13,DKI1 Bundaran HI,34.0,53.0,46.0,8.0,25.0,25.0,53.0,1
PM2.5,BAIK,202401,1,14,DKI1 Bundaran HI,39.0,49.0,45.0,6.0,20.0,20.0,49.0,0
PM2.5,SEDANG,202401,1,15,DKI1 Bundaran HI,55.0,72.0,47.0,10.0,21.0,30.0,72.0,1
SO2,BAIK,202401,1,16,DKI1 Bundaran HI,41.0,47.0,48.0,10.0,25.0,24.0,48.0,0
PM2.5,SEDANG,202401,1,17,DKI1 Bundaran HI,45.0,54.0,51.0,8.0,16.0,30.0,54.0,1
PM2.5,SEDANG,202401,1,18,DKI1 Bundaran HI,45.0,58.0,47.0,11.0,14.0,27.0,58.0,1
SO2,BAIK,202401,1,19,DKI1 Bundaran HI,19.0,31.0,46.0,14.0,12.0,20.0,46.0,0
SO2,BAIK,202401,1,20,DKI1 Bundaran HI,26.0,28.0,44.0,14.0,17.0,17.0,44.0,0
PM2.5,BAIK,202401,1,21,DKI1 Bundaran HI,36.0,50.0,46.0,6.0,15.0,14.0,50.0,0
SO2,BAIK,202401,1,22,DKI1 Bundaran HI,24.0,26.0,44.0,3.0,17.0,11.0,44.0,0
SO2,BAIK,202401,1,23,DKI1 Bundaran HI,20.0,38.0,44.0,5.0,15.0,12.0,44.0,0
SO2,BAIK,202401,1,24,DKI1 Bundaran HI,31.0,37.0,45.0,8.0,14.0,14.0,45.0,0
PM2.5,SEDANG,202401,1,25,DKI1 Bundaran HI,43.0,56.0,48.0,11.0,14.0,22.0,56.0,1
